r_1,a_0,a_1,logReturn
1.64966733223000e-03,0.00000000000000e+00,1.00000000000000e+00,1.64830812569685e-03
2.81426934012000e-03,0.00000000000000e+00,1.00000000000000e+00,2.81031669828994e-03
3.87889101209000e-03,0.00000000000000e+00,1.00000000000000e+00,3.87138751159612e-03
2.69108218467000e-03,0.00000000000000e+00,1.00000000000000e+00,2.68746770612805e-03
5.51669069782000e-03,0.00000000000000e+00,1.00000000000000e+00,5.50152949391493e-03
2.23497782785000e-03,0.00000000000000e+00,1.00000000000000e+00,2.23248398000979e-03
-2.05783005392000e-03,0.00000000000000e+00,1.00000000000000e+00,-2.05995029541589e-03
-3.64799694923000e-03,0.00000000000000e+00,1.00000000000000e+00,-3.65466711687601e-03
-6.66866421041000e-04,2.00000000000000e+00,-1.00000000000000e+00,-4.34254881041322e-03
-6.16045945534000e-04,2.00000000000000e+00,-1.00000000000000e+00,-4.39359175885856e-03
-4.56347412540000e-03,2.00000000000000e+00,-1.00000000000000e+00,-4.36621179756020e-04
-3.69010230559000e-03,2.00000000000000e+00,-1.00000000000000e+00,-1.31075636031985e-03
1.58721385827000e-04,2.00000000000000e+00,-1.00000000000000e+00,-5.17207352878072e-03
-2.75938638667000e-03,2.00000000000000e+00,-1.00000000000000e+00,-2.24312754387873e-03
-4.43184072566000e-05,0.00000000000000e+00,1.00000000000000e+00,-4.43193893462324e-05
-1.80475949743000e-03,2.00000000000000e+00,-1.00000000000000e+00,-3.20035618363210e-03
-1.64842502358000e-03,2.00000000000000e+00,-1.00000000000000e+00,-3.35720408493666e-03
1.40502249509000e-03,0.00000000000000e+00,1.00000000000000e+00,1.40403637455699e-03
-1.76444291858000e-03,2.00000000000000e+00,-1.00000000000000e+00,-3.24080281453570e-03
3.69068659376000e-04,2.00000000000000e+00,-1.00000000000000e+00,-5.38353390835311e-03
-2.38523708008000e-04,0.00000000000000e+00,1.00000000000000e+00,-2.38552159311969e-04
1.99893562830000e-04,2.00000000000000e+00,-1.00000000000000e+00,-5.21346005935680e-03
1.60303190879000e-04,0.00000000000000e+00,1.00000000000000e+00,1.60290343695449e-04
-2.59692204234000e-03,0.00000000000000e+00,1.00000000000000e+00,-2.60029989366533e-03
-1.12791660019000e-03,0.00000000000000e+00,1.00000000000000e+00,-1.12855317683371e-03
-1.48051370882000e-03,0.00000000000000e+00,1.00000000000000e+00,-1.48161075216647e-03
8.32607679355000e-05,2.00000000000000e+00,-1.00000000000000e+00,-5.09622448859513e-03
-3.13583239829000e-04,0.00000000000000e+00,1.00000000000000e+00,-3.13632417334243e-04
1.97780636921000e-03,0.00000000000000e+00,1.00000000000000e+00,1.97585308524720e-03
2.23143841485000e-03,0.00000000000000e+00,1.00000000000000e+00,2.22895245364312e-03
-1.51298182660000e-03,2.00000000000000e+00,-1.00000000000000e+00,-3.49311199156477e-03
3.74187220793000e-04,2.00000000000000e+00,-1.00000000000000e+00,-5.38868011326817e-03
-3.44584618722000e-03,0.00000000000000e+00,1.00000000000000e+00,-3.45179678903129e-03
-7.56224058167000e-04,2.00000000000000e+00,-1.00000000000000e+00,-4.25280631660242e-03
4.98808361579000e-04,0.00000000000000e+00,1.00000000000000e+00,4.98683998042101e-04
1.65632046767000e-03,0.00000000000000e+00,1.00000000000000e+00,1.65495028169365e-03
3.85202466886000e-03,0.00000000000000e+00,1.00000000000000e+00,3.84462461919687e-03
1.92431841073000e-03,0.00000000000000e+00,1.00000000000000e+00,1.92246928188554e-03
3.19071003312000e-04,0.00000000000000e+00,1.00000000000000e+00,3.19020110984722e-04
1.18340228110000e-03,2.00000000000000e+00,-1.00000000000000e+00,-6.20259868662762e-03
2.99681613930000e-04,0.00000000000000e+00,1.00000000000000e+00,2.99636718364510e-04
1.47292872102000e-03,2.00000000000000e+00,-1.00000000000000e+00,-6.49396896795826e-03
1.52834135953000e-03,0.00000000000000e+00,1.00000000000000e+00,1.52717463449246e-03
2.40023976182000e-03,0.00000000000000e+00,1.00000000000000e+00,2.39736378746215e-03
3.57869142077000e-04,2.00000000000000e+00,-1.00000000000000e+00,-5.37227399887971e-03
6.82717835755000e-04,0.00000000000000e+00,1.00000000000000e+00,6.82484889951420e-04
1.53280220346000e-03,2.00000000000000e+00,-1.00000000000000e+00,-6.55423434807528e-03
-5.17237716502000e-04,2.00000000000000e+00,-1.00000000000000e+00,-4.49283999093205e-03
-1.10284078395000e-03,2.00000000000000e+00,-1.00000000000000e+00,-3.90477292869889e-03
-4.83876475787000e-03,0.00000000000000e+00,1.00000000000000e+00,-4.85050948201583e-03
-1.05904077874000e-03,2.00000000000000e+00,-1.00000000000000e+00,-3.94874526410236e-03
-3.18099835238000e-03,2.00000000000000e+00,-1.00000000000000e+00,-1.82065804007559e-03
-9.25976062111000e-04,2.00000000000000e+00,-1.00000000000000e+00,-4.08234538227789e-03
-1.20012926694000e-04,0.00000000000000e+00,1.00000000000000e+00,-1.20020128821471e-04
-1.57424084780000e-03,0.00000000000000e+00,1.00000000000000e+00,-1.57548126690665e-03
-4.29101563353000e-03,2.00000000000000e+00,-1.00000000000000e+00,-7.09235814741614e-04
-2.30536392953000e-03,2.00000000000000e+00,-1.00000000000000e+00,-2.69827313743001e-03
9.70898165109000e-04,2.00000000000000e+00,-1.00000000000000e+00,-5.98879525425029e-03
1.22350348388000e-03,2.00000000000000e+00,-1.00000000000000e+00,-6.24295020817569e-03
-1.48223356800000e-03,0.00000000000000e+00,1.00000000000000e+00,-1.48333316288037e-03
-3.04890337104000e-03,2.00000000000000e+00,-1.00000000000000e+00,-1.95300249741358e-03
4.10205886202000e-03,2.00000000000000e+00,-1.00000000000000e+00,-9.14373568916643e-03
1.16873488377000e-03,2.00000000000000e+00,-1.00000000000000e+00,-6.18784013949807e-03
2.32460519890000e-03,0.00000000000000e+00,1.00000000000000e+00,2.32190748417363e-03
3.39735926660000e-03,0.00000000000000e+00,1.00000000000000e+00,3.39160127922241e-03
6.44561441484000e-04,0.00000000000000e+00,1.00000000000000e+00,6.44353800978054e-04
-1.52879102367000e-04,0.00000000000000e+00,1.00000000000000e+00,-1.52890789568192e-04
6.98572176883000e-05,0.00000000000000e+00,1.00000000000000e+00,6.98547777864604e-05
2.47923609367000e-03,0.00000000000000e+00,1.00000000000000e+00,2.47616785807326e-03
1.71518435122000e-03,2.00000000000000e+00,-1.00000000000000e+00,-6.73783265026705e-03
3.91466059809000e-03,0.00000000000000e+00,1.00000000000000e+00,3.90701825259052e-03
7.83333898422000e-04,2.00000000000000e+00,-1.00000000000000e+00,-5.80012213318232e-03
1.02415470009000e-03,2.00000000000000e+00,-1.00000000000000e+00,-6.04237312393367e-03
2.66100895109000e-03,0.00000000000000e+00,1.00000000000000e+00,2.65747473510291e-03
4.91618794783000e-03,2.00000000000000e+00,-1.00000000000000e+00,-9.96568079828619e-03
7.06529056358000e-05,2.00000000000000e+00,-1.00000000000000e+00,-5.08355229009040e-03
-1.94630558202000e-03,0.00000000000000e+00,1.00000000000000e+00,-1.94820209592593e-03
-2.94160862702000e-03,2.00000000000000e+00,-1.00000000000000e+00,-2.06051277211523e-03
3.66681641957000e-03,2.00000000000000e+00,-1.00000000000000e+00,-8.70459169226605e-03
-2.84654727794000e-03,2.00000000000000e+00,-1.00000000000000e+00,-2.15577473553617e-03
-4.68380479193000e-03,2.00000000000000e+00,-1.00000000000000e+00,-3.16245208314998e-04
