r_1,a_0,a_1,logReturn
1.64966733223000e-03,2.00000000000000e+00,-1.00000000000000e+00,-1.65106890227933e-03
2.81426934012000e-03,2.00000000000000e+00,-1.00000000000000e+00,-2.81856825691602e-03
3.87889101209000e-03,0.00000000000000e+00,1.00000000000000e+00,3.67157803707295e-03
2.69108218467000e-03,0.00000000000000e+00,1.00000000000000e+00,2.68744777681552e-03
5.51669069782000e-03,0.00000000000000e+00,1.00000000000000e+00,5.50152949193301e-03
2.23497782785000e-03,0.00000000000000e+00,1.00000000000000e+00,2.23248398000956e-03
-2.05783005392000e-03,0.00000000000000e+00,1.00000000000000e+00,-2.05995029541589e-03
-3.64799694923000e-03,0.00000000000000e+00,1.00000000000000e+00,-3.65466711687601e-03
-6.66866421041000e-04,0.00000000000000e+00,1.00000000000000e+00,-6.67088875356431e-04
-6.16045945534000e-04,0.00000000000000e+00,1.00000000000000e+00,-6.16235779805925e-04
-4.56347412540000e-03,0.00000000000000e+00,1.00000000000000e+00,-4.57391856083384e-03
-3.69010230559000e-03,0.00000000000000e+00,1.00000000000000e+00,-3.69692752879082e-03
1.58721385827000e-04,2.00000000000000e+00,-1.00000000000000e+00,-3.58785741734388e-04
-2.75938638667000e-03,2.00000000000000e+00,-1.00000000000000e+00,2.75553464870486e-03
-4.43184072566000e-05,2.00000000000000e+00,-1.00000000000000e+00,4.37670959717294e-05
-1.80475949743000e-03,2.00000000000000e+00,-1.00000000000000e+00,1.80312408342888e-03
-1.64842502358000e-03,2.00000000000000e+00,-1.00000000000000e+00,1.64670815441951e-03
1.40502249509000e-03,2.00000000000000e+00,-1.00000000000000e+00,-1.40634003441004e-03
-1.76444291858000e-03,2.00000000000000e+00,-1.00000000000000e+00,1.76260718054597e-03
3.69068659376000e-04,2.00000000000000e+00,-1.00000000000000e+00,-3.69489151119783e-04
-2.38523708008000e-04,2.00000000000000e+00,-1.00000000000000e+00,2.38421407118034e-04
1.99893562830000e-04,2.00000000000000e+00,-1.00000000000000e+00,-1.99961239729490e-04
1.60303190879000e-04,2.00000000000000e+00,-1.00000000000000e+00,-1.60356038698504e-04
-2.59692204234000e-03,2.00000000000000e+00,-1.00000000000000e+00,2.59352388011754e-03
-1.12791660019000e-03,0.00000000000000e+00,1.00000000000000e+00,-1.32828033814161e-03
-1.48051370882000e-03,0.00000000000000e+00,1.00000000000000e+00,-1.48163075649424e-03
8.32607679355000e-05,0.00000000000000e+00,1.00000000000000e+00,8.32572999499362e-05
-3.13583239829000e-04,2.00000000000000e+00,-1.00000000000000e+00,1.13576789741132e-04
1.97780636921000e-03,2.00000000000000e+00,-1.00000000000000e+00,-1.97980760737271e-03
2.23143841485000e-03,2.00000000000000e+00,-1.00000000000000e+00,-2.23432901938988e-03
-1.51298182660000e-03,2.00000000000000e+00,-1.00000000000000e+00,1.51139177274886e-03
3.74187220793000e-04,0.00000000000000e+00,1.00000000000000e+00,1.74474094007149e-04
-3.44584618722000e-03,0.00000000000000e+00,1.00000000000000e+00,-3.45181682437681e-03
-7.56224058167000e-04,2.00000000000000e+00,-1.00000000000000e+00,5.56069420901652e-04
4.98808361579000e-04,2.00000000000000e+00,-1.00000000000000e+00,-4.99064045176119e-04
1.65632046767000e-03,2.00000000000000e+00,-1.00000000000000e+00,-1.65779367316515e-03
3.85202466886000e-03,2.00000000000000e+00,-1.00000000000000e+00,-3.85979593023878e-03
1.92431841073000e-03,0.00000000000000e+00,1.00000000000000e+00,1.72206139391736e-03
3.19071003312000e-04,0.00000000000000e+00,1.00000000000000e+00,3.19000074580358e-04
1.18340228110000e-03,0.00000000000000e+00,1.00000000000000e+00,1.18270261055782e-03
2.99681613930000e-04,0.00000000000000e+00,1.00000000000000e+00,2.99636718364288e-04
1.47292872102000e-03,0.00000000000000e+00,1.00000000000000e+00,1.47184502551838e-03
1.52834135953000e-03,0.00000000000000e+00,1.00000000000000e+00,1.52717463449246e-03
2.40023976182000e-03,0.00000000000000e+00,1.00000000000000e+00,2.39736378746215e-03
3.57869142077000e-04,0.00000000000000e+00,1.00000000000000e+00,3.57805122188864e-04
6.82717835755000e-04,0.00000000000000e+00,1.00000000000000e+00,6.82484889951420e-04
1.53280220346000e-03,0.00000000000000e+00,1.00000000000000e+00,1.53162866121488e-03
-5.17237716502000e-04,0.00000000000000e+00,1.00000000000000e+00,-5.17371530073988e-04
-1.10284078395000e-03,0.00000000000000e+00,1.00000000000000e+00,-1.10344936033037e-03
-4.83876475787000e-03,0.00000000000000e+00,1.00000000000000e+00,-4.85050948201583e-03
-1.05904077874000e-03,2.00000000000000e+00,-1.00000000000000e+00,8.58672014384305e-04
-3.18099835238000e-03,2.00000000000000e+00,-1.00000000000000e+00,3.17575864497203e-03
-9.25976062111000e-04,2.00000000000000e+00,-1.00000000000000e+00,9.24914033868436e-04
-1.20012926694000e-04,2.00000000000000e+00,-1.00000000000000e+00,1.19820787252452e-04
-1.57424084780000e-03,2.00000000000000e+00,-1.00000000000000e+00,1.57297908606596e-03
-4.29101563353000e-03,2.00000000000000e+00,-1.00000000000000e+00,4.28152247019497e-03
-2.30536392953000e-03,2.00000000000000e+00,-1.00000000000000e+00,2.30185811495228e-03
9.70898165109000e-04,2.00000000000000e+00,-1.00000000000000e+00,-9.71830166535893e-04
1.22350348388000e-03,2.00000000000000e+00,-1.00000000000000e+00,-1.22444722798952e-03
-1.48223356800000e-03,2.00000000000000e+00,-1.00000000000000e+00,1.48089148675744e-03
